LoanID,Branch,DisbursementDate,LoanType,SanctionedAmount,OutstandingAmount,DPD,InterestRate,CollateralCoverage,Status
LN-100001,Patna Main,2025-01-03,Auto,458176,173636,0,11.82,0.97,Standard
LN-100002,Patna Main,2020-01-07,Home,1160488,454811,0,9.65,1.42,Standard
LN-100003,Gaya,2019-09-11,Home,1736332,1215082,0,8.1,1.43,Standard
LN-100004,Kankarbagh,2020-04-27,Home,1358575,593090,0,8.21,1.43,Standard
LN-100005,Patna Main,2019-09-15,Personal,148498,100778,0,14.24,0.0,Standard
LN-100006,Danapur,2024-01-31,Auto,857549,461780,0,11.59,1.05,Standard
LN-100007,Hajipur,2024-01-13,Personal,177976,155744,16,14.22,0.0,SMA-0
LN-100008,Gaya,2020-09-14,Home,2947201,2370388,0,8.08,1.58,Standard
LN-100009,Muzaffarpur,2022-07-09,Personal,450855,371259,0,14.39,0.0,Standard
LN-100010,Hajipur,2020-01-19,Personal,354032,138518,0,13.95,0.0,Standard
LN-100011,Bhagalpur,2025-06-25,Personal,81808,43830,0,13.57,0.0,Standard
LN-100012,Boring Road,2022-12-26,Auto,1001133,915425,0,10.99,0.99,Standard
LN-100013,Bhagalpur,2023-05-21,Home,2005576,999918,0,8.16,1.58,Standard
LN-100014,Hajipur,2023-10-30,Auto,876129,378624,0,11.41,1.22,Standard
LN-100015,Danapur,2020-12-22,Agri,498921,219801,0,7.02,0.9,Standard
LN-100016,Muzaffarpur,2023-09-13,Business,2029602,715346,0,12.91,1.21,Standard
LN-100017,Bhagalpur,2019-08-10,Personal,320265,237950,0,14.8,0.0,Standard
LN-100018,Patna Main,2024-05-26,Business,3791512,2223616,0,11.38,1.25,Standard
LN-100019,Kankarbagh,2019-08-04,Agri,562030,311383,0,8.07,0.88,Standard
LN-100020,Muzaffarpur,2021-10-30,Agri,743550,428090,405,7.95,1.14,NPA
LN-100021,Kankarbagh,2024-06-04,Home,2847105,1792519,0,8.2,1.32,Standard
LN-100022,Muzaffarpur,2024-10-15,Auto,577617,442012,0,10.29,0.94,Standard
LN-100023,Hajipur,2020-01-08,Personal,64178,33941,0,14.04,0.0,Standard
LN-100024,Danapur,2024-08-21,Agri,472974,316682,0,8.23,0.95,Standard
LN-100025,Bhagalpur,2021-07-17,Business,2137003,1797219,0,11.71,1.09,Standard
LN-100026,Muzaffarpur,2021-03-04,Home,917176,580888,0,8.89,1.48,Standard
LN-100027,Bhagalpur,2021-06-22,Agri,466497,265335,0,7.39,0.88,Standard
LN-100028,Boring Road,2019-12-14,Home,808004,599367,0,9.82,1.54,Standard
LN-100029,Gaya,2022-09-23,Business,2172012,992855,0,11.93,1.05,Standard
LN-100030,Patna Main,2020-06-04,Personal,94522,42724,0,13.3,0.0,Standard
LN-100031,Muzaffarpur,2024-04-26,Agri,787717,666335,0,7.31,1.05,Standard
LN-100032,Gaya,2020-07-24,Personal,61218,25201,423,14.97,0.0,NPA
LN-100033,Gaya,2022-08-28,Home,1685175,833022,17,9.67,1.3,SMA-0
LN-100034,Kankarbagh,2024-10-17,Home,2283877,1707164,0,9.06,1.37,Standard
LN-100035,Kankarbagh,2019-01-17,Personal,59806,48796,0,13.34,0.0,Standard
LN-100036,Bhagalpur,2024-10-24,Auto,1060420,410439,0,11.57,1.11,Standard
LN-100037,Patna Main,2020-02-05,Home,1038331,535935,0,9.52,1.4,Standard
LN-100038,Hajipur,2024-09-28,Agri,564779,527513,0,7.9,0.91,Standard
LN-100039,Hajipur,2024-11-13,Personal,300628,149891,0,14.85,0.0,Standard
LN-100040,Muzaffarpur,2020-05-13,Business,2199435,950773,0,11.15,1.16,Standard
LN-100041,Kankarbagh,2020-05-16,Home,1106690,588392,0,9.88,1.57,Standard
LN-100042,Gaya,2020-01-21,Personal,241985,116577,330,14.77,0.0,NPA
LN-100043,Gaya,2024-10-12,Home,1738316,1058483,0,8.39,1.36,Standard
LN-100044,Patna Main,2024-02-22,Auto,1057230,584424,0,10.77,1.08,Standard
LN-100045,Boring Road,2021-07-25,Personal,204903,79620,0,13.17,0.0,Standard
LN-100046,Hajipur,2023-09-26,Home,1561481,667897,0,8.81,1.55,Standard
LN-100047,Hajipur,2020-01-02,Personal,319894,246399,0,13.12,0.0,Standard
LN-100048,Boring Road,2019-03-10,Personal,272988,139594,0,14.6,0.0,Standard
LN-100049,Gaya,2024-02-02,Home,1732846,1503530,0,9.85,1.19,Standard
LN-100050,Hajipur,2020-03-24,Home,1342008,1041025,0,8.1,1.6,Standard
LN-100051,Kankarbagh,2021-04-23,Home,2108590,1409912,0,8.54,1.31,Standard
LN-100052,Danapur,2021-02-15,Business,2600916,1770260,17,12.87,1.21,SMA-0
